slug,name,area,address,phone,website,contact_method,hours_notes,usual_products,ships_mainland,notes,source_urls,confidence
cindys-lei-shoppe,Cindy's Lei Shoppe,Chinatown,"1034 Maunakea St, Honolulu, HI 96817",(808) 536-6538,https://www.cindysleishoppe.com,call,Hours TBC from site/storefront,"Pīkake; Pakalana; Maile; Tuberose; Orchid; Plumeria; Carnation; Ginger; Hala; Rose (lokelani); Ti leaf; Haku / head lei; Money lei",yes,"Family business since 1959, voted Star-Advertiser best lei stand 12 of last 13 years. Curbside pickup: call from Maunakea and Beretania and they bring the order out. Ships fresh lei to all 50 states.",https://www.cindysleishoppe.com,high
lins-lei-shop,Lin's Lei Shop,Chinatown,"1017 Maunakea St, Honolulu, HI 96817",(808) 537-4112,,call,"Sun-Mon 7:00a-6:00p; Tue-Sat 7:00a-7:00p per hichinatown","Fresh flower lei; Custom lei to order; Flower arrangements; Wedding bouquets",TBC,"Family owned and operated; voted best lei stand in the 2017 and 2018 Best of hiChinatown awards. Their own site (linsleishop.com and linsleishophawaii.com) returns HTTP 500 as of 2026-08-19; product categories are from an archived copy dated 2021-01-25. No flower list has ever been published. Ships_mainland still unknown.",http://hichinatown.com/shopping/linsleishop,high
shirleys-flowers,Shirley's Flowers,Chinatown,"1176-C Maunakea St, Honolulu, HI 96817",(808) 536-2218,,call,Hours TBC,TBC,TBC,,https://www.hawaii-guide.com/blog/where-to-buy-fresh-flower-lei-oahu-visitor-guide,medium
nitas-leis,Nita's Leis & Flower Shoppe,Chinatown,"59 N Beretania St, Honolulu, HI 96817",(808) 521-9065,,call,Hours TBC,TBC,TBC,,https://www.hawaii-guide.com/blog/where-to-buy-fresh-flower-lei-oahu-visitor-guide,medium
island-gifts-flowers,Island Gifts & Flowers,Chinatown,"69 N Beretania St, Honolulu, HI 96817",(808) 537-5347,,call,Hours TBC,TBC,TBC,,https://www.hawaii-guide.com/blog/where-to-buy-fresh-flower-lei-oahu-visitor-guide,medium
mp-lei-shop,M P Lei Shop,Chinatown,"1145 Maunakea St #2, Honolulu, HI 96817",(808) 531-3206,http://hichinatown.com/shopping/mpleishop,call,Mon-Fri 7:00a-6:00p per hichinatown,TBC,TBC,,http://hichinatown.com/shopping/mpleishop,medium
pauahi-leis,Pauahi Leis,Chinatown,"Pauahi St, Honolulu, HI 96817 (exact address TBC)",TBC,,call,Hours TBC,TBC,no,"Tiny shop run by Lilia and her daughter Lenny per alohawithlove. Address and phone need confirming.",https://alohawithlove.com/shopping/best-fresh-lei-shops-in-oahu/,low
maunakea-florist,Maunakea Florist,Chinatown,"Maunakea St, Honolulu, HI 96817 (exact address TBC)",TBC,,call,Hours TBC,TBC,TBC,Mentioned by hawaiiforvisitors; details need confirming.,http://www.hawaiiforvisitors.com/islands/oahu-island/towns/chinatown/attractions/lei-shops.htm,low
harriets-lei-stand,Harriet's Lei Stand,Airport,"300 Rodgers Blvd Stall 1, Honolulu, HI 96819",TBC,,call,"Yelp lists Mon-Thu and Sat 7a-9p, Fri and Sun 7a-10p; airport page says stands generally 6a-10p","Fresh flower lei; selection varies daily",TBC,On the airport lei road before Terminal 1.,https://airports.hawaii.gov/hnl/services-amenities/lei-greeting/; https://www.yelp.com/biz/harriets-lei-stand-honolulu,medium
rachels-lei-stand,Rachel's Lei Stand,Airport,"300 Rodgers Blvd, Honolulu, HI 96819 (stall TBC)",TBC,,call,Airport lei stands generally 6a-10p,"Fresh flower lei and arrangements",TBC,"Family owned and run for over 90 years per the Native Hawaiian Business Directory.",https://kanakaeconomy.com/listing/rachels-lei-stand/,medium
dorothys-lei-stand,Dorothy's Lei Stand,Airport,"300 Rodgers Blvd, Honolulu, HI 96819 (stall TBC)",TBC,,call,Airport lei stands generally 6a-10p,TBC,TBC,,https://thehawaiivacationguide.com/best-lei-greeting-honolulu-airport/,low
gladys-lei-stand,Gladys' Lei Stand,Airport,"300 Rodgers Blvd, Honolulu, HI 96819 (stall TBC)",TBC,,call,Airport lei stands generally 6a-10p,"Pakalana historically per founder oral history; current selection TBC",TBC,"Opened by Moana Umi, whose mother Rachel Aanana sold lei on the waterfront and Maunakea St; family stand on Lagoon Drive from 1948. Still in business per HPR 2023.",https://www.hawaiipublicradio.org/local-news/2023-04-28/women-behind-honolulu-airports-lei-stands-adorning-hawaii,medium
mailes-lei-stand,Maile's Lei Stand,Airport,"300 Rodgers Blvd, Honolulu, HI 96819 (stall TBC)",TBC,,call,Airport lei stands generally 6a-10p,TBC,TBC,"Family lei stand since 1945 (truck on Lagoon Drive), renamed Maile's in 1962 when Maile Lee inherited it. Still at the airport per HPR 2023. Strong story vault for the listing page.",https://www.hawaiipublicradio.org/local-news/2023-04-28/women-behind-honolulu-airports-lei-stands-adorning-hawaii,medium
watanabe-floral,Watanabe Floral,Kalihi,"1618 N Nimitz Hwy, Honolulu, HI 96817",TBC,https://watanabefloral.com,call,Mon-Sat 9:00a-4:00p; closed Sun,"Lei department; fresh flower lei; arrangements",yes,"Full-service florist with dedicated lei department, island-wide delivery and online ordering. Between Kalihi St and Waikamilo Rd off Nimitz.",https://watanabefloral.com/lei-from-hawaii/,high
